"Date/Time", "Heart Rate (bpm)"
"May 25, 2026 at 17:53:50", 76
"May 25, 2026 at 17:53:51", 76
"May 25, 2026 at 17:53:52", 76
"May 25, 2026 at 17:53:53", 76
"May 25, 2026 at 17:53:54", 78
"May 25, 2026 at 17:53:55", 78
"May 25, 2026 at 17:53:56", 78
"May 25, 2026 at 17:53:57", 78
"May 25, 2026 at 17:53:58", 78
"May 25, 2026 at 17:53:59", 80
"May 25, 2026 at 17:54:00", 80
"May 25, 2026 at 17:54:01", 82
"May 25, 2026 at 17:54:02", 82
"May 25, 2026 at 17:54:03", 84
"May 25, 2026 at 17:54:04", 84
"May 25, 2026 at 17:54:05", 86
"May 25, 2026 at 17:54:06", 87
"May 25, 2026 at 17:54:07", 87
"May 25, 2026 at 17:54:08", 87
"May 25, 2026 at 17:54:09", 88
"May 25, 2026 at 17:54:10", 88
"May 25, 2026 at 17:54:11", 88
"May 25, 2026 at 17:54:12", 87
"May 25, 2026 at 17:54:13", 87
"May 25, 2026 at 17:54:14", 85
"May 25, 2026 at 17:54:15", 85
"May 25, 2026 at 17:54:16", 85
"May 25, 2026 at 17:54:17", 84
"May 25, 2026 at 17:54:18", 84
"May 25, 2026 at 17:54:19", 84
"May 25, 2026 at 17:54:20", 85
"May 25, 2026 at 17:54:21", 86
"May 25, 2026 at 17:54:22", 86
"May 25, 2026 at 17:54:23", 87
"May 25, 2026 at 17:54:24", 89
"May 25, 2026 at 17:54:25", 91
"May 25, 2026 at 17:54:26", 93
"May 25, 2026 at 17:54:27", 93
"May 25, 2026 at 17:54:28", 94
"May 25, 2026 at 17:54:29", 94
"May 25, 2026 at 17:54:30", 95
"May 25, 2026 at 17:54:31", 96
"May 25, 2026 at 17:54:32", 96
"May 25, 2026 at 17:54:33", 97
"May 25, 2026 at 17:54:34", 96
"May 25, 2026 at 17:54:35", 95
"May 25, 2026 at 17:54:36", 95
"May 25, 2026 at 17:54:37", 94
"May 25, 2026 at 17:54:38", 95
"May 25, 2026 at 17:54:39", 95
"May 25, 2026 at 17:54:40", 95
"May 25, 2026 at 17:54:41", 95
"May 25, 2026 at 17:54:42", 95
"May 25, 2026 at 17:54:43", 95
"May 25, 2026 at 17:54:44", 95
"May 25, 2026 at 17:54:45", 95
"May 25, 2026 at 17:54:46", 94
"May 25, 2026 at 17:54:47", 94
"May 25, 2026 at 17:54:48", 94
"May 25, 2026 at 17:54:49", 93
"May 25, 2026 at 17:54:50", 93
"May 25, 2026 at 17:54:51", 93
"May 25, 2026 at 17:54:52", 93
"May 25, 2026 at 17:54:53", 93
"May 25, 2026 at 17:54:54", 93
"May 25, 2026 at 17:54:55", 94
"May 25, 2026 at 17:54:56", 95
"May 25, 2026 at 17:54:57", 95
"May 25, 2026 at 17:54:58", 95
"May 25, 2026 at 17:54:59", 95
"May 25, 2026 at 17:55:00", 96
"May 25, 2026 at 17:55:01", 96
"May 25, 2026 at 17:55:02", 96
"May 25, 2026 at 17:55:03", 95
"May 25, 2026 at 17:55:04", 95
"May 25, 2026 at 17:55:05", 95
"May 25, 2026 at 17:55:06", 96
"May 25, 2026 at 17:55:07", 96
"May 25, 2026 at 17:55:08", 96
"May 25, 2026 at 17:55:09", 95
"May 25, 2026 at 17:55:10", 96
"May 25, 2026 at 17:55:11", 94
"May 25, 2026 at 17:55:12", 94
"May 25, 2026 at 17:55:13", 94
"May 25, 2026 at 17:55:14", 93
"May 25, 2026 at 17:55:15", 94
"May 25, 2026 at 17:55:16", 95
"May 25, 2026 at 17:55:17", 95
"May 25, 2026 at 17:55:18", 94
"May 25, 2026 at 17:55:19", 94
"May 25, 2026 at 17:55:20", 95
"May 25, 2026 at 17:55:21", 95
"May 25, 2026 at 17:55:22", 94
"May 25, 2026 at 17:55:23", 94
"May 25, 2026 at 17:55:24", 93
"May 25, 2026 at 17:55:25", 93
"May 25, 2026 at 17:55:26", 91
"May 25, 2026 at 17:55:27", 89
"May 25, 2026 at 17:55:28", 89
"May 25, 2026 at 17:55:29", 89
"May 25, 2026 at 17:55:30", 88
"May 25, 2026 at 17:55:31", 88
"May 25, 2026 at 17:55:32", 88
"May 25, 2026 at 17:55:33", 88
"May 25, 2026 at 17:55:34", 87
"May 25, 2026 at 17:55:35", 87
"May 25, 2026 at 17:55:36", 88
"May 25, 2026 at 17:55:37", 88
"May 25, 2026 at 17:55:38", 88
"May 25, 2026 at 17:55:39", 88
"May 25, 2026 at 17:55:40", 90
"May 25, 2026 at 17:55:41", 91
"May 25, 2026 at 17:55:42", 91
"May 25, 2026 at 17:55:43", 91
"May 25, 2026 at 17:55:44", 91
"May 25, 2026 at 17:55:45", 90
"May 25, 2026 at 17:55:46", 90
"May 25, 2026 at 17:55:47", 90
"May 25, 2026 at 17:55:48", 90
"May 25, 2026 at 17:55:49", 90
"May 25, 2026 at 17:55:50", 90
"May 25, 2026 at 17:55:51", 90
"May 25, 2026 at 17:55:52", 91
"May 25, 2026 at 17:55:53", 90
"May 25, 2026 at 17:55:54", 90
"May 25, 2026 at 17:55:55", 90
"May 25, 2026 at 17:55:56", 91
"May 25, 2026 at 17:55:57", 92
"May 25, 2026 at 17:55:58", 92
"May 25, 2026 at 17:55:59", 93
"May 25, 2026 at 17:56:00", 93
"May 25, 2026 at 17:56:01", 93
"May 25, 2026 at 17:56:02", 92
"May 25, 2026 at 17:56:03", 92
"May 25, 2026 at 17:56:04", 93
"May 25, 2026 at 17:56:05", 94
"May 25, 2026 at 17:56:06", 94
"May 25, 2026 at 17:56:07", 93
"May 25, 2026 at 17:56:08", 93
"May 25, 2026 at 17:56:09", 92
"May 25, 2026 at 17:56:10", 91
"May 25, 2026 at 17:56:11", 91
"May 25, 2026 at 17:56:12", 91
"May 25, 2026 at 17:56:13", 92
"May 25, 2026 at 17:56:14", 92
"May 25, 2026 at 17:56:15", 92
"May 25, 2026 at 17:56:16", 91
"May 25, 2026 at 17:56:17", 90
"May 25, 2026 at 17:56:18", 90
"May 25, 2026 at 17:56:19", 90
"May 25, 2026 at 17:56:20", 90
"May 25, 2026 at 17:56:21", 90
"May 25, 2026 at 17:56:22", 92
"May 25, 2026 at 17:56:23", 92
"May 25, 2026 at 17:56:24", 92
"May 25, 2026 at 17:56:25", 92
"May 25, 2026 at 17:56:26", 91
"May 25, 2026 at 17:56:27", 91
"May 25, 2026 at 17:56:28", 91
"May 25, 2026 at 17:56:29", 91
"May 25, 2026 at 17:56:30", 91
"May 25, 2026 at 17:56:31", 91
"May 25, 2026 at 17:56:32", 91
