time_s,phase,round,time_left_s,hr_bpm
0,no_round,no_round,0,70
1,no_round,no_round,0,70
2,no_round,no_round,0,72
3,no_round,no_round,0,72
4,Prep,0,29,73
5,Prep,0,29,75
6,Prep,0,28,75
7,Prep,0,27,75
8,Prep,0,26,75
9,Prep,0,25,76
10,Prep,0,24,76
11,Prep,0,23,77
12,Prep,0,22,77
13,Prep,0,21,77
14,Prep,0,20,77
15,Prep,0,19,79
16,Prep,0,18,79
17,Prep,0,17,79
18,Prep,0,16,79
19,Prep,0,15,79
20,Prep,0,14,79
21,Prep,0,13,79
22,Prep,0,12,79
23,Prep,0,11,78
24,Prep,0,10,78
25,Prep,0,9,78
26,Prep,0,8,78
27,Prep,0,7,78
28,Prep,0,6,78
29,Prep,0,5,77
30,Prep,0,4,77
31,Prep,0,3,76
32,Prep,0,2,78
33,Prep,0,1,80
34,Prep,0,0,81
35,Work,0,179,81
36,Work,0,178,84
37,Work,0,177,86
38,Work,0,176,88
39,Work,0,175,92
40,Work,0,174,92
41,Work,0,173,93
42,Work,0,172,93
43,Work,0,171,93
44,Work,0,170,92
45,Work,0,169,90
46,Work,0,168,90
47,Work,0,167,90
48,Work,0,166,88
49,Work,0,165,86
50,Work,0,164,86
51,Work,0,163,86
52,Work,0,162,87
53,Work,0,161,89
54,Work,0,160,90
55,Work,0,159,92
56,Work,0,158,92
57,Work,0,157,93
58,Work,0,156,95
59,Work,0,155,95
60,Work,0,154,95
61,Work,0,153,96
62,Work,0,152,96
63,Work,0,151,97
64,Work,0,150,97
65,Work,0,149,98
66,Work,0,148,99
67,Work,0,147,99
68,Work,0,146,101
69,Work,0,145,101
70,Work,0,144,101
71,Work,0,143,102
72,Work,0,142,101
73,Work,0,141,100
74,Work,0,140,100
75,Work,0,139,100
76,Work,0,138,100
77,Work,0,137,99
78,Work,0,136,99
79,Work,0,135,99
80,Work,0,134,100
81,Work,0,133,101
82,Work,0,132,101
83,Work,0,131,102
84,Work,0,130,102
85,Work,0,129,102
86,Work,0,128,103
87,Work,0,127,104
88,Work,0,126,105
89,Work,0,125,106
90,Work,0,124,106
91,Work,0,123,106
92,Work,0,122,107
93,Work,0,121,107
94,Work,0,120,107
95,Work,0,119,107
96,Work,0,118,107
97,Work,0,117,106
98,Work,0,116,106
99,Work,0,115,106
100,Work,0,114,106
101,Work,0,113,106
102,Work,0,112,106
103,Work,0,111,107
104,Work,0,110,108
105,Work,0,109,109
106,Work,0,108,110
107,Work,0,107,111
108,Work,0,106,111
109,Work,0,105,112
110,Work,0,104,112
111,Work,0,103,112
112,Work,0,102,112
113,Work,0,101,112
114,Work,0,100,112
115,Work,0,99,112
116,Work,0,98,112
117,Work,0,97,112
118,Work,0,96,112
119,Work,0,95,113
120,Work,0,94,114
121,Work,0,93,114
122,Work,0,92,116
123,Work,0,91,117
124,Work,0,90,117
125,Work,0,89,117
126,Work,0,88,118
127,Work,0,87,118
128,Work,0,86,118
129,Work,0,85,119
130,Work,0,84,119
131,Work,0,83,119
132,Work,0,82,117
133,Work,0,81,117
134,Work,0,80,117
135,Work,0,79,117
136,Work,0,78,116
137,Work,0,77,116
138,Work,0,76,116
139,Work,0,75,116
140,Work,0,74,116
141,Work,0,73,114
142,Work,0,72,114
143,Work,0,71,115
144,Work,0,70,115
145,Work,0,69,115
146,Work,0,68,115
147,Work,0,67,112
148,Work,0,66,113
149,Work,0,65,114
150,Work,0,64,114
151,Work,0,63,113
152,Work,0,62,112
153,Work,0,61,112
154,Work,0,60,112
155,Work,0,59,112
156,Work,0,58,112
157,Work,0,57,111
158,Work,0,56,110
159,Work,0,55,109
160,Work,0,54,107
161,Work,0,53,107
162,Work,0,52,107
163,Work,0,51,106
164,Work,0,50,106
165,Work,0,49,106
166,Work,0,48,107
167,Work,0,47,107
168,Work,0,46,108
169,Work,0,45,108
170,Work,0,44,108
171,Work,0,43,108
172,Work,0,42,108
173,Work,0,41,107
174,Work,0,40,106
175,Work,0,39,105
176,Work,0,38,104
177,Work,0,37,104
178,Work,0,36,104
179,Work,0,35,104
180,Work,0,34,104
181,Work,0,33,104
182,Work,0,32,105
183,Work,0,31,105
184,Work,0,30,105
185,Work,0,29,105
186,Work,0,28,104
187,Work,0,27,102
188,Work,0,26,102
189,Work,0,25,100
190,Work,0,24,99
191,Work,0,23,99
192,Work,0,22,99
193,Work,0,21,99
194,Work,0,20,100
195,Work,0,19,100
196,Work,0,18,101
197,Work,0,17,101
198,Work,0,16,101
199,Work,0,15,101
200,Work,0,14,101
201,Work,0,13,101
202,Work,0,12,102
203,Work,0,11,103
204,Work,0,10,104
205,Work,0,9,106
206,Work,0,8,106
207,Work,0,7,107
208,Work,0,6,108
209,Work,0,5,108
210,Work,0,4,108
211,Work,0,3,108
212,Work,0,2,108
213,Work,0,1,108
214,Work,0,0,108
215,Rest,1,59,108
216,Rest,1,58,108
217,Rest,1,57,109
218,Rest,1,56,110
219,Rest,1,55,110
220,Rest,1,54,110
221,Rest,1,53,110
222,Rest,1,52,110
223,Rest,1,51,110
224,Rest,1,50,109
225,Rest,1,49,108
226,Rest,1,48,108
227,Rest,1,47,107
228,Rest,1,46,106
229,Rest,1,45,104
230,Rest,1,44,104
231,Rest,1,43,104
232,Rest,1,42,104
233,Rest,1,41,103
234,Rest,1,40,103
235,Rest,1,39,103
236,Rest,1,38,103
237,Rest,1,37,102
238,Rest,1,36,102
239,Rest,1,35,102
240,Rest,1,34,102
241,Rest,1,33,102
242,Rest,1,32,101
243,Rest,1,31,101
244,Rest,1,30,102
245,Rest,1,29,101
246,Rest,1,28,100
247,Rest,1,27,100
248,Rest,1,26,100
249,Rest,1,25,99
250,Rest,1,24,98
251,Rest,1,23,99
252,Rest,1,22,99
253,Rest,1,21,99
254,Rest,1,20,98
255,Rest,1,19,97
256,Rest,1,18,97
257,Rest,1,17,97
258,Rest,1,16,96
259,Rest,1,15,95
260,Rest,1,14,95
261,Rest,1,13,95
262,Rest,1,12,95
263,Rest,1,11,95
264,Rest,1,10,95
265,Rest,1,9,96
266,Rest,1,8,96
267,Rest,1,7,96
268,Rest,1,6,96
269,Rest,1,5,96
270,Rest,1,4,95
271,Rest,1,3,95
272,Rest,1,2,95
273,Rest,1,1,95
274,Work,1,180,95
275,Work,1,179,95
276,Work,1,178,95
277,Work,1,177,95
278,Work,1,176,95
279,Work,1,175,94
280,Work,1,174,94
281,Work,1,173,94
282,Work,1,172,93
283,Work,1,171,92
284,Work,1,170,92
285,Work,1,169,92
286,Work,1,168,92
287,Work,1,167,91
288,Work,1,166,90
